what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1317123745390
opened,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1317123745625
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1317123745703
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317123752421
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1317123762609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317123765593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317123765593
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317123765703
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317123789984
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1317123816390
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1317123816437
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1317123817328
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1317123826953
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317123830328
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1317123833718
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1317123841921
executed,command,,,"com.google.gdt.eclipse.suite.launch.ui.webappLaunchShortcut.run",1317123848015
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1317123849515
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317123853031
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317123865625
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1317123870203
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1317123871625
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317123874421
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317123875656
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317123876109
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317123876250
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1317123876250
activated,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1317123898046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317123901921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317123902875
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1317123903937
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317123905062
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317123972625
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1317123973328
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1317123976562
closed,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1317123976562
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317123981812
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317123981812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317123982343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317123982718
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1317123983921
activated,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1317123991890
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1317123992593
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317124038390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317124051203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317124078875
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317124107546
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1317124111312
opened,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1317124111546
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1317124111593
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1317124143843
closed,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1317124143843
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1317124145968
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1317124151328
opened,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1317124151765
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1317124151828
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1317124176812
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1317124179640
opened,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1317124179906
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1317124179937
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317124188437
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1317124193781
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317124224906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317124226343
executed,command,com.google.appengine.eclipse.core,2.4.0.r37v201108301710,"com.google.appengine.eclipse.core.deployToGoogle",1317124226812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317124226828
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317124226953
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1317124226968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317124227609
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317124227687
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1317124228500
activated,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1317124243406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317124246062
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317124246781
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1317124247906
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317124251734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317124270109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317124294453
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317124294453
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317124294546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317124302156
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317124319890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317124377421
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1317124381046
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1317124381828
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317124384718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317124384734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317124384812
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317124458750
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1317124458750
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1317124482156
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1317124483343
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1317124490109
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.closeProject",1317124495921
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.openProject",1317124504062
started,bundle,org.eclipse.jst.common.frameworks,1.1.500.v201104081500,"org.eclipse.jst.common.frameworks",1317124504093
started,bundle,org.eclipse.jst.j2ee.web,1.1.500.v201103021755,"org.eclipse.jst.j2ee.web",1317124504109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317124504421
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317124504546
started,bundle,org.eclipse.jst.server.core,1.2.202.v20110419,"org.eclipse.jst.server.core",1317124504843
opened,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1317124512031
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1317124512078
started,bundle,org.eclipse.wst.dtd.core,1.1.500.v201103300335,"org.eclipse.wst.dtd.core",1317124513515
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1317124523546
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1317124526843
closed,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1317124526843
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1317124527750
