what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1315284680453
opened,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1315284680515
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1315284680593
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1315284704953
opened,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1315284718078
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1315284718203
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1315284736718
closed,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1315284736718
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1315284739859
opened,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1315284740140
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1315284740187
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1315284754640
closed,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1315284754640
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1315284810687
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1315284820031
executed,command,,,"com.google.gdt.eclipse.suite.launch.ui.webappLaunchShortcut.debug",1315284825406
opened,view,com.google.gwt.eclipse.oophm,2.3.3.r36v201107211953,"com.google.gwt.eclipse.DevModeView",1315284825546
activated,view,com.google.gwt.eclipse.oophm,2.3.3.r36v201107211953,"com.google.gwt.eclipse.DevModeView",1315284825578
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1315284826921
activated,view,com.google.gwt.eclipse.oophm,2.3.3.r36v201107211953,"com.google.gwt.eclipse.DevModeView",1315284831609
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315284835546
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315284835968
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1315284854187
activated,view,com.google.gwt.eclipse.oophm,2.3.3.r36v201107211953,"com.google.gwt.eclipse.DevModeView",1315284854343
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315284867609
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315284868546
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1315284873359
closed,view,com.google.gwt.eclipse.oophm,2.3.3.r36v201107211953,"com.google.gwt.eclipse.DevModeView",1315284873375
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1315284877171
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1315284881453
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1315284883125
executed,command,,,"com.google.gdt.eclipse.suite.launch.ui.webappLaunchShortcut.debug",1315284891812
opened,view,com.google.gwt.eclipse.oophm,2.3.3.r36v201107211953,"com.google.gwt.eclipse.DevModeView",1315284891968
activated,view,com.google.gwt.eclipse.oophm,2.3.3.r36v201107211953,"com.google.gwt.eclipse.DevModeView",1315284892000
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1315284893265
activated,view,com.google.gwt.eclipse.oophm,2.3.3.r36v201107211953,"com.google.gwt.eclipse.DevModeView",1315284897062
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315284898390
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315284899671
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1315284917718
activated,view,com.google.gwt.eclipse.oophm,2.3.3.r36v201107211953,"com.google.gwt.eclipse.DevModeView",1315284940390
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1315284940390
closed,view,com.google.gwt.eclipse.oophm,2.3.3.r36v201107211953,"com.google.gwt.eclipse.DevModeView",1315284940406
started,bundle,org.eclipse.wb.os,1.1.0.r36x201107161214,"org.eclipse.wb.os",1315284942062
started,bundle,org.eclipse.wb.os.win32,1.1.0.r36x201107161214,"org.eclipse.wb.os.win32",1315284942093
started,bundle,org.eclipse.wb.core.xml,1.1.0.r36x201107161221,"org.eclipse.wb.core.xml",1315284950765
opened,editor,com.google.gwt.eclipse.core,2.3.3.r36v201107211953,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1315284951531
activated,editor,com.google.gwt.eclipse.core,2.3.3.r36v201107211953,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1315284951875
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1315285095015
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1315285213812
opened,editor,com.google.gwt.eclipse.core,2.3.3.r36v201107211953,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1315285215078
activated,editor,com.google.gwt.eclipse.core,2.3.3.r36v201107211953,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1315285215125
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1315285254531
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1315285293703
executed,command,,,"com.google.gdt.eclipse.suite.launch.ui.webappLaunchShortcut.run",1315285297078
opened,view,com.google.gwt.eclipse.oophm,2.3.3.r36v201107211953,"com.google.gwt.eclipse.DevModeView",1315285297234
activated,view,com.google.gwt.eclipse.oophm,2.3.3.r36v201107211953,"com.google.gwt.eclipse.DevModeView",1315285297265
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1315285298609
activated,view,com.google.gwt.eclipse.oophm,2.3.3.r36v201107211953,"com.google.gwt.eclipse.DevModeView",1315285304046
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315285304328
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315285304515
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1315285304578
activated,view,com.google.gwt.eclipse.oophm,2.3.3.r36v201107211953,"com.google.gwt.eclipse.DevModeView",1315285343375
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1315285345484
closed,view,com.google.gwt.eclipse.oophm,2.3.3.r36v201107211953,"com.google.gwt.eclipse.DevModeView",1315285345484
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1315285350546
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1315285372625
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1315285398171
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1315285405984
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.1.v201008170101,"org.eclipse.wst.jsdt.debug.ui",1315285413109
activated,editor,com.google.gwt.eclipse.core,2.3.3.r36v201107211953,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1315285413812
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1315285420765
opened,editor,com.google.gwt.eclipse.core,2.3.3.r36v201107211953,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1315285421593
activated,editor,com.google.gwt.eclipse.core,2.3.3.r36v201107211953,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1315285421640
activated,editor,com.google.gwt.eclipse.core,2.3.3.r36v201107211953,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1315285430734
closed,editor,com.google.gwt.eclipse.core,2.3.3.r36v201107211953,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1315285430734
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1315285436531
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315285443796
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315285636421
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1315285658734
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315285664343
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315285664343
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315285664421
